Year,"tmp,Southwest","tmp,North Central","tmp,Northeast","tmp,Southeast","prc,Southwest","prc,North Central","prc,Northeast","prc,Southeast"
22,8.276605224609398,6.448846435546898,1.2821289062500227,5.247003173828148,357.9957534682876,543.9717332222926,722.6074840005481,581.908930215036
21.9899997711182,8.316644287109398,6.620263671875023,1.8607116699218977,5.660974121093773,331.94571145145346,530.4453609156212,740.7802850067924,629.5236611464361
21.9799995422363,8.164910888671898,6.453668212890648,1.4831481933593977,5.390039062500023,362.03903109210955,568.2627176639699,749.0025359402352,620.6628225058353
21.9699993133545,8.230157470703148,6.466455078125023,1.8043762207031477,5.740106201171898,334.6884226829161,529.1383234862224,766.762086996664,597.2164344569819
21.9599990844727,8.421899414062523,6.548089599609398,1.6907287597656477,5.500451660156273,323.5784084409943,497.4892937070763,710.7727696364918,548.0365529564324
21.9500007629395,8.453668212890648,6.590631103515648,1.4135375976562727,5.338433837890648,344.3119472734679,551.1097072741222,736.6924384655249,608.3442090343283
21.9400005340576,8.119622802734398,6.363519287109398,1.4622436523437727,5.367028808593773,326.3426617827747,521.4575106649022,730.1924358316114,595.6085918512599
21.9300003051758,8.236413574218773,6.526605224609398,1.7613159179687727,5.648126220703148,362.481358688882,543.3290555956205,735.7128187024387,629.2364703597286
21.9200000762939,8.266717529296898,6.601647949218773,1.4252258300781477,5.374810791015648,352.99378190245534,541.4396808589572,737.1496130303967,611.8626043161157
21.9099998474121,8.315942382812523,6.735467529296898,1.9216247558593977,5.827020263671898,360.2057106633083,548.6441020963184,737.7983975231928,587.6415406902424
21.8999996185303,8.266046142578148,6.560662841796898,1.6076599121093977,5.559930419921898,350.844529197758,540.1932078541449,741.3883944096256,605.3743672040923
21.8899993896484,8.451989746093773,6.625787353515648,1.7034240722656477,5.553887939453148,341.30350332617354,530.6012820938122,733.2485021294133,594.9386294190617
21.8799991607666,8.213494873046898,6.390130615234398,1.1588073730468977,5.153588867187523,340.65102109792633,548.2840771264819,736.9322870331985,625.1830799897107
21.8700008392334,8.201684570312523,6.577600097656273,2.0139404296875227,5.934655761718773,373.50991069828865,549.6214247813214,748.0654401348374,631.6263279870782
21.8600006103516,8.117761230468773,6.448114013671898,1.8048034667968977,5.844750976562523,375.1682890218433,549.6184553877015,759.387569928549,625.9736110081349
21.8500003814697,8.057641601562523,6.308709716796898,1.2296386718750227,5.188897705078148,344.6151055541691,553.5746401363895,757.1861847566197,617.6277100422567
21.8400001525879,8.190240478515648,6.395104980468773,1.2022033691406477,5.166375732421898,355.7457374725459,541.70154776045365,718.2804612071436,604.0561245157505
21.8299999237061,8.442864990234398,6.736077880859398,1.7775817871093977,5.629602050781273,347.2227934153693,524.9354549619056,725.7044494934917,598.2064751108851
21.8199996948242,8.649285888671898,6.883660888671898,1.8675476074218977,5.833917236328148,348.35432847657444,542.4650741048254,748.4922484479739,595.4906565008855
21.8099994659424,8.648980712890648,6.856195068359398,1.9504028320312727,5.657830810546898,341.9998821563297,541.3510472607186,719.3771198998888,599.7801977031259
21.7999992370605,8.100427246093773,6.331903076171898,1.4403625488281477,5.492211914062523,381.7209563727886,571.6375735786983,753.1778395275524,617.0396580529314
21.7900009155273,8.190270996093773,6.331536865234398,1.4175964355468977,5.300073242187523,360.8281347844411,526.6216223276388,708.5406820550588,582.5372651102612
21.7800006866455,8.233148193359398,6.727227783203148,2.3258605957031477,5.937493896484398,350.71183091872626,565.7894929100848,759.5056733578076,598.053131142251
21.7700004577637,8.498773193359398,6.647546386718773,1.3642822265625227,5.386773681640648,343.2855455542949,531.8516209129598,727.1011850207287,590.7067392740828
21.7600002288818,8.849633789062523,7.075585937500023,2.4919372558593977,6.364678955078148,335.65602480578605,511.2441972698889,702.6209437555053,543.4631265188727
21.75,8.224114990234398,6.468743896484398,1.5580993652343977,5.539819335937523,333.1084251456673,522.3581893787355,728.2939848352044,605.041402934603
21.7399997711182,8.625604248046898,6.731805419921898,1.7633300781250227,5.721063232421898,349.7638660121538,535.2237875655419,732.0960412471322,592.005260706685
21.7299995422363,8.240899658203148,6.675775146484398,1.8791442871093977,5.660546875000023,354.46377181003186,540.8497239756116,745.324073534448,579.2811849403279
21.7199993133545,8.809869384765648,6.941613769531273,2.1612487792968977,6.153894042968773,319.542554301222,516.9085677181329,741.6944660576519,562.3105961660713
21.7099990844727,8.300866699218773,6.538507080078148,1.6887145996093977,5.751000976562523,352.7723659857429,534.4407080443148,736.2768354113314,595.5859572281952
21.7000007629395,8.320397949218773,6.666345214843773,1.7305541992187727,5.767877197265648,385.05807857802665,545.6581246932046,759.3993354504391,622.9861208950638
21.6900005340576,8.551934814453148,6.735009765625023,1.5625549316406477,5.729180908203148,361.49568808596655,536.4601198110108,707.3734302309731,582.7233844613033
21.6800003051758,8.387139892578148,6.639855957031273,1.3229919433593977,5.422998046875023,353.42515635861105,539.4344997711187,736.9862403550087,637.3931145020606
21.6700000762939,8.069787597656273,6.436547851562523,1.5693603515625227,5.523278808593773,370.0096399228414,551.5731007577074,750.9014911732947,616.4574888245511
21.6599998474121,8.258905029296898,6.539361572265648,1.8001342773437727,5.736566162109398,357.90779218558555,553.9220031636205,736.3600904852774,576.6001026330514
21.6499996185303,8.449609375000023,6.698815917968773,2.0695739746093977,5.830255126953148,341.55828290138857,530.4366768399404,752.1984998959397,598.7214688119025
21.6399993896484,7.956964111328148,6.382257080078148,1.4770751953125227,5.403955078125023,397.0153224486239,544.9170088667188,718.4300514140318,584.8668384444977
