subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,Abeurador,10,Abeurador 10,17940,14735,80,0.0054,intcal13,NA,1.6500,42.5833,NA,NA,NA,NA,QSR paper,NA
N Central,France,Languedoc,4,Holocene,Montclusien,Abeurador,5,Abeurador 5,9848,8740,90,0.0103,intcal13,MC-2144,1.6500,42.5833,NA,NA,NA,NA,"QSR paper, PANCEA",NA
N Central,France,Languedoc-Roussillon,3,End Glacial,Sauveterrian,Abeurador,7,Abeurador 7,11175,9755,110,0.0113,intcal13,AA-13083,1.6500,42.5833,NA,NA,NA,NA,PANCEA,NA
N Central,France,Languedoc,3,End Glacial,Sauveterrien,Abeurador,7,Abeurador 7,11352,9845,115,0.0117,intcal13,AA-13084,1.6500,42.5833,NA,NA,NA,NA,"QSR paper, PANCEA",NA
N Central,France,Languedoc,3,End Glacial,Azilien,Abeurador,8,Abeurador 8,12242,10480,100,0.0095,intcal13,Gif-6746,1.6500,42.5833,charcoal,NA,"Conv 14C, 5360",Hentz C. & Thiebault C. 1998. Quaternary Research 56-68.,"QSR paper, PANCEA, Leuven",NA
N Central,France,NA,3,End Glacial,NA,Abeurador,F10B,Abeurador F10B,12343,10580,115,0.0109,intcal13,LYON-949,1.6500,42.5833,grains,?,"AMS, 3460",NA,Leuven,NA
N Central,France,NA,3,End Glacial,NA,Abeurador,F8B,Abeurador F8B,12986,11090,90,0.0081,intcal13,"LYON-951, Ky-951",1.6500,42.5833,grains,?,"AMS, 3462",NA,Leuven,NA
N Central,France,NA,3,End Glacial,NA,Abeurador,F9A,Abeurador F9A,12388,10580,85,0.008,intcal13,LYON-950,1.6500,42.5833,grains,?,"AMS, 3461",NA,Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Final Epipalaeolithic,Acqua Fitusa,Upper level 2-1,Acqua Fitusa Upper level 2-1,16577,13760,330,0.024,intcal13,F-26,13.5667,37.3167,NA,NA,"Conv 14C, 6529",Lo Vetro D. e.a. 1999-2000. Rivista di Scienze Preistoriche 50: 103-132.,Leuven,NA
Southeast,Italy,NA,2,Late Pleniglacial,Epigravettian Palaeolithic rock art,Addaura,NA,Addaura,15427,12890,60,0.0047,intcal13,KIA-36055,13.3481,38.1889,collagen of the human remains,?,"AMS, 5017",Mannino M. e.a. 2011. JAS 38: 3094-3100.,Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Mesolรญtico de Muescas y Denticulados,Agut,4 / 7a,Agut 4.7a,10406,9185,60,0.0065,intcal13,OxA10049,1.4129,41.3141,NA,NA,NA,Vaquero et al. 2002,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Mesolรญtico de Muescas y Denticulados,Agut,4 / 7a,Agut 4.7a,11036,9660,110,0.0114,intcal13,OxA10064,1.4129,41.3141,NA,NA,NA,Vaquero et al. 2006,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,"Mesolithic, flake industry",Agut,4.7c,Agut 4.7c,11655,10085,60,0.0059,intcal13,OxA-10050,1.4129,41.3141,charcoal,?,"AMS, 2066","Vaquero M. et al., 2002. JAS 29: 953-958.",Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,"Mesolithic, flake industry",Agut,4.7c,Agut 4.7c,11452,9895,60,0.0061,intcal13,OxA-10051,1.4129,41.3141,charcoal,?,"AMS, 2067","Vaquero M. et al., 2002. JAS 29: 953-958.",Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,"Mesolithic, flake industry",Agut,4.7c,Agut 4.7c,11644,10060,65,0.0065,intcal13,OxA-10074,1.4129,41.3141,Charcoal,?,"AMS, 2068","Vaquero M. et al., 2002. JAS 29: 953-958.",Leuven,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Aisone,NA,Aisone,8174,7345,35,0.0048,intcal13,Lyon4495,7.2228,44.3135,NA,NA,NA,Banadora,O Garcia,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Aisone,NA,Aisone,8034,7185,35,0.0049,intcal13,Lyon4492,7.2228,44.3135,NA,NA,NA,Banadora,O Garcia,NA
Northeast,Italy,NA,4,Holocene,Mesolithic,Aisone,NA,Aisone,7707,6850,35,0.0051,intcal13,Lyon4494,7.2228,44.3135,NA,NA,NA,Banadora,O Garcia,NA
N Central,France,NA,4,Holocene,NA,Aldene,Gallery DES PAS,Aldene Gallery DES PAS,9050,8200,130,0.0159,intcal13,MC482,2.7158,43.3258,NA,NA,NA,Shennan & Steele 2000,O Garcia,NA
Southwest,Spain,S&E Spain,3,End Glacial,Epipaleolithic,Alt del Punxó,-,Alt del Punxó,10568,9348,61,0.0065,intcal13,AA57440,-0.4390,38.7951,NA,NA,NA,bbdd,O Garcia,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,23199,19250,70,0.0036,intcal13,Gif-9883,-2.0967,37.8325,Charcoal from level II.9,NA,"Conv 14C, 7901","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,23018,19110,90,0.0047,intcal13,Gif-A-II.4,-2.0967,37.8325,Charcoal from level II.4,NA,"Conv 14C, 7902","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,23239,19300,190,0.0098,intcal13,GifA-A-II.6,-2.0967,37.8325,Charcoal from level II.6,?,"AMS, 7248","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,23134,19170,190,0.0099,intcal13,GifA-A-II.2,-2.0967,37.8325,Charcoal from level II.2,?,"AMS, 7247","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,24324,20150,200,0.0099,intcal13,GifA-955767,-2.0967,37.8325,Charcoal from level II.1,?,"AMS, 7245","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,2,Late Pleniglacial,Solutrean,Ambrosio,II,Ambrosio II,16640,13740,140,0.0102,intcal13,GifA-A-II.9,-2.0967,37.8325,Charcoal from level II,?,"AMS, 7249","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,24044,19950,210,0.0105,intcal13,GifA-95577,-2.0967,37.8325,Charcoal from level II.1,?,"AMS, 7246","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Solutrean,Ambrosio,II,Ambrosio II,19913,16500,280,0.017,intcal13,Gif-7276,-2.0967,37.8325,Charcoal,NA,"Conv 14C, 4741","Journal of World Prehistory 12, 1998: 121-198, Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Upper Solutrean,Ambrosio,IV,Ambrosio IV,25788,21520,120,0.0056,intcal13,Gif-9884,-2.0967,37.8325,charcoal,NA,"Conv 14C, 7900","La Cueva de Ambrosio (Almeria, Spain) Ysu posigon cronoestratigrafica en el mediterraneo occidental. B.A.R. (Oxford, nr. 462 2  1088. 520. Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Upper Solutrean,Ambrosio,IV,Ambrosio IV,20037,16620,280,0.0168,intcal13,Gif-7275,-2.0967,37.8325,charcoal,NA,"Conv 14C, 247","La Cueva de Ambrosio (Almeria, Spain) Ysu posigon cronoestratigrafica en el mediterraneo occidental. B.A.R. (Oxford, nr. 462 2  1088. 520. Jorda-Pardo J.F. e.a. 2012. Espacio, Tiempo y Forma I, 5: 71..",Leuven,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Angel 1,-,Angel 1,9050,8150,70,0.0086,intcal13,GrN15520,-0.3996,40.7412,NA,NA,NA,Sebastiรกn 1988,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Angel 1,-,Angel 1,9200,8210,210,0.0256,intcal13,GrN15519,-0.3996,40.7412,NA,NA,NA,Sebastiรกn 1988,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Angel 1,8 inf,Angel 1 8,9072,8060,270,0.0335,intcal13,GrN15518,-0.3996,40.7412,NA,NA,NA,Sebastiรกn 1988,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Angel 1,8d,Angel 1 8,9314,8390,60,0.0072,intcal13,GrA22826,-0.3996,40.7412,NA,NA,NA,Utrilla y Domingo 2002,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Angel 1,VIIIc,Angel 1 8,8804,7955,45,0.0057,intcal13,GrA27278,-0.3996,40.7412,NA,NA,NA,Utrilla et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Angel 1,VIIIc,Angel 1 8,8222,7435,45,0.0061,intcal13,GrA27274,-0.3996,40.7412,NA,NA,NA,Utrilla et al. 2009,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolรญtico de Muescas y Denticulados,Angel 2,2b,Angel 2 2,9314,8390,60,0.0072,intcal13,GrA22836,-0.3996,40.7413,NA,NA,NA,Utrilla y Domingo 2002,O Garcia,NA
Southwest,Spain,S&E Spain,1,LGM,Gravettian,Angel de Ladrunan,10b med,Angel de Ladrunan 10b med,29508,25330,190,0.0075,intcal13,GrA-16961,-0.5445,40.6504,Charcoal,?,"AMS, 3506",Montes L. e.a. 2008. L'Anthropologie 112: 168-181.,Leuven,NA
Southeast,France,Corsica,4,Holocene,Mesolithic,Araguina Sennola,C XVIIIa,Araguina Sennola C XVIIIa,9603,8520,150,0.0176,intcal13,Gif2705,9.1594,41.3874,NA,NA,NA,Manen & Sabatier 2003,O Garcia,NA
N Central,Spain,NE Spain,1,LGM,Upper Gravettian,Arbreda,0.38 - 0.395m,Arbreda 0.38-0.395m,24304,20130,220,0.0109,intcal13,Gif-6420,2.7500,42.1667,NA,NA,"Conv 14C, 2340","Canal i Roquet, J., & Carbonell i Roura, E. [et al.] 1989 (Catalunya Paleolitica; Patronat Francesc Eiximenis, Gerona: 322-34); Burjachs F., Renault-Miskovsky J., 1992. Quaternaire, 3(2) : 75-85",Leuven,NA
N Central,Spain,NE Spain,1,LGM,Solutrean,Arbreda,3.03-3.15m,Arbreda 3.03-3.15m,20942,17320,290,0.0167,intcal13,Gif-6418,2.7500,42.1667,NA,NA,"Conv 14C, 4744","Journal of World Prehistory 12, 1998: 121-198,",Leuven,NA
N Central,Spain,NE Spain,1,LGM,Upper Solutrean,Arbreda,3.25-3.50m,Arbreda 3.25-3.50m,21405,17750,290,0.0163,intcal13,Gif-6419,2.7500,42.1667,NA,NA,"Conv 14C, 4745","Journal of World Prehistory 12, 1998: 121-198, Burjachs F., Renault-Miskovsky J., 1992. Quaternaire, 3(2) : 75-85",Leuven,NA
N Central,Spain,NE Spain,1,LGM,Gravettian,Arbreda,E,Arbreda E,30224,26100,210,0.008,intcal13,OxA-21668,2.7500,42.1667,"indet. diaphyseal fragment, cut marked, percussion marked",-20.6,"AMS, 6588",Wood R.E. e.a. 2014.JHE 69: 91-109.,Leuven,NA
N Central,Spain,NE Spain,1,LGM,Gravettian,Arbreda,E,Arbreda E,29956,25780,210,0.0081,intcal13,OxA-21669,2.7500,42.1667,indet. diaphyseal fragment,-20,"AMS, 6587",Wood R.E. e.a. 2014.JHE 69: 91-109.,Leuven,NA
N Central,Spain,NE Spain,1,LGM,Gravettian,Arbreda,F,Arbreda F,32329,28260,280,0.0099,intcal13,OxA-21781,2.7500,42.1667,"Cervus elaphus, fragment from distal articulation of 1st phalanx",-20.5,"AMS, 6590",Wood R.E. e.a. 2014.JHE 69: 91-109.,Leuven,NA
N Central,Spain,NE Spain,1,LGM,Gravettian,Arbreda,F,Arbreda F,32351,28280,290,0.0103,intcal13,OxA-21782,2.7500,42.1667,"cf. Cervus elaphus; dostam shaft fragment of right femur, no modification",-19.2,"AMS, 6589",Wood R.E. e.a. 2014.JHE 69: 91-109.,Leuven,NA
N Central,Spain,NE Spain,1,LGM,Evolved Aurignacian,Arbreda,G,Arbreda G,26800,22590,290,0.0128,intcal13,Gif-6421,2.7500,42.1667,charcoal ?,NA,"Conv 14C, 4824","Burjachs F., Renault-Miskovsky J., 1992. Quaternaire, 3(2) : 75-85. Maroto J. e.a. 2012. QI 247: 15-25. Wood R.E. e.a. 2014.JHE 69: 91-109.",Leuven,NA
N Central,Spain,NE Spain,1,LGM,Aurignacian,Arbreda,G,Arbreda G,29873,25830,400,0.0155,intcal13,Gif-6422,2.7500,42.1667,charcoal,NA,"Conv 14C, 2339","Canal i Roquet, J., & Carbonell i Roura, E. [et al.] 1989 (Catalunya Paleolitica; Patronat Francesc Eiximenis, Gerona: 322-34);","PANCEA, Leuben",NA
Northeast,Italy,Ligurie,1,LGM,Gravettian,Arene Candide,burial II,Arene Candide burial II,27638,23440,190,0.0081,intcal13,OxA-10700,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,3,End Glacial,Epi-Gravettian,Arene Candide,Burial III,Arene Candide Burial III,11634,10065,55,0.0055,intcal13,OxA-10998,8.3330,44.1667,human bone,?,"AMS, 2603",Formicola V. et al. 2005. Journal of Archaeological Science 32: 1598-1602.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,Epi-gravettian,Arene Candide,Burial Vb,Arene Candide Burial V,11474,9925,50,0.005,intcal13,OxA-10999,8.3330,44.1667,human bones,?,"AMS, 2604",Formicola V. et al. 2005. Journal of Archaeological Science 32: 1598-1602.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,Epi-gravettian,Arene Candide,Burial Vib,Arene Candide burial VI,12462,10585,55,0.0052,intcal13,OxA-11000,8.3330,44.1667,human bone,?,"AMS, 2605",Formicola V. et al. 2005. Journal of Archaeological Science 32: 1598-1602.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,NA,Arene Candide,Burial VIII,Arene Candide Burial VIII,12566,10655,55,0.0052,intcal13,OxA-11001,8.3330,44.1667,human bone,?,"AMS, 2606",Formicola V. et al. 2005. Journal of Archaeological Science 32: 1598-1602.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,Burial X,Arene Candide Burial X,13743,11605,445,0.0383,intcal13,GX-16960-A,8.3330,44.1667,HUMAN BONE from burial X,NA,"Conv 14C, 4401","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,Burial XII,Arene Candide Burial XII,12622,10720,55,0.0051,intcal13,OxA-11002,8.3330,44.1667,human bone,?,"AMS, 2602","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,Burial XII,Arene Candide Burial XII,13616,11510,385,0.0334,intcal13,GX-16964-K,8.3330,44.1667,left human humerus from burial XII,NA,"Conv 14C, 4402","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,NA,Arene Candide,Burial XIV,Arene Candide Burial XIV,12646,10735,55,0.0051,intcal13,OxA-11003,8.3330,44.1667,human bone,?,"AMS, 2607",Formicola V. et al. 2005. Journal of Archaeological Science 32: 1598-1602.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,M 1 top,Arene Candide M1 top,11577,9980,140,0.014,intcal13,Beta-49694,8.3330,44.1667,NA,NA,"Conv 14C, 4403","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,M 1-2,Arene Candide M1-2,12826,10910,90,0.0082,intcal13,R-740,8.3330,44.1667,charcoal,NA,"Conv 14C, 4405","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Formicola V.2005. JAS 32: 1598-1602.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,M 1-2,Arene Candide M1-2,12672,10740,90,0.0084,intcal13,Beta--53981,8.3330,44.1667,charcoal,?,"AMS, 5296","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Formicola V.2005. JAS 32: 1598-1602.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,Upper Epigravettian,Arene Candide,M 3-4,Arene Candide M3-4,13624,11750,95,0.0081,intcal13,R-743,8.3330,44.1667,NA,NA,"Conv 14C, 4406","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,NA,1,LGM,Gravettian   Lower Epigravettian,Arene Candide,P1,Arene Candide P1,22401,18560,210,0.0113,intcal13,R-745,8.3330,44.1667,NA,NA,"Conv 14C, 4397","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Leuven,NA
Northeast,Italy,NA,2,Late Pleniglacial,Gravettian   Lower Epigravettian,Arene Candide,P1,Arene Candide P1,18295,15110,200,0.0132,intcal13,Beta-56693,8.3330,44.1667,sediment,?,"AMS, 6174","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Leuven,NA
Northeast,Italy,Ligurie,2,Late Pleniglacial,Epigravettian,Arene Candide,P1,Arene Candide P1,17900,14760,230,0.0156,intcal13,R-2568,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,1,LGM,Upper Gravettian,Arene Candide,"P12, hearth VI of Cardini",Arene Candide P12,31316,27381,200,0.0073,intcal13,LTL3769A,8.3330,44.1667,Charcoal,?,"AMS, 6175","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Leuven,NA
Northeast,Italy,NA,1,LGM,Upper Gravettian,Arene Candide,"P12, hearth VI of Cardini",Arene Candide P12,27676,23450,220,0.0094,intcal13,Beta-53983,8.3330,44.1667,charcoal from hearth VI of Cardini's strati: shallow lenses of fine charcoal,NA,"Conv 14C, 4272","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris. Rellini I. e.a. 2013. QI 315: 42-55.",Leuven,NA
Northeast,Italy,NA,1,LGM,"Gravettian, Lower Epigravettian",Arene Candide,P13,Arene Candide P13,29810,25620,200,0.0078,intcal13,Beta-51982,8.3330,44.1667,NA,NA,"Conv 14C, 3904","Mussi M., 2000. Heading South. In: Hunters of the Golden Age: 355-374",Leuven,NA
Northeast,Italy,Ligurie,2,Late Pleniglacial,Epigravettian,Arene Candide,P2,Arene Candide P2,18036,14910,300,0.0201,intcal13,R-2578,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,Ligurie,1,LGM,Epigravettian,Arene Candide,P3,Arene Candide P3,22028,18255,215,0.0118,intcal13,R-2546,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NW Italy,1,LGM,Upper Paleolithic,Arene Candide,P3,Arene Candide P3,22868,18950,245,0.0129,intcal13,NA,8.3330,44.1667,NA,NA,NA,NA,QSR paper,NA
Northeast,Italy,Ligurie,1,LGM,Epigravettian,Arene Candide,P4,Arene Candide P4,22406,18550,155,0.0084,intcal13,R-2550,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,1,LGM,Gravettian   Lower Epigravettian,Arene Candide,P4,Arene Candide P4,21959,18220,250,0.0137,intcal13,R-2550,8.3330,44.1667,NA,NA,"Conv 14C, 4399","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,Ligurie,1,LGM,Epigravettian,Arene Candide,P5,Arene Candide P5,22238,18435,230,0.0125,intcal13,R-2552,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,1,LGM,"Gravettian, Ancient Epigravettian",Arene Candide,P7.3,Arene Candide P7,23346,19400,230,0.0119,intcal13,R-2533,8.3330,44.1667,NA,NA,"Conv 14C, 4400","Djindjian F., J. Kozlowski & M. Otte 1999. Le Paleolithique superieur en Europe. Armand Colin, Paris.",Leuven,NA
Northeast,Italy,Ligurie,1,LGM,Gravettian,Arene Candide,P7.2,Arene Candide P7,22874,18955,245,0.0129,intcal13,R-2540,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,1,LGM,"Gravettian, Ancient Epigravettian",Arene Candide,P8,Arene Candide P8,23580,19630,250,0.0127,intcal13,Beta-48684,8.3330,44.1667,NA,NA,"Conv 14C, 3901","Mussi M., 2000. Heading South. In: Hunters of the Golden Age: 355-374",Leuven,NA
Northeast,Italy,Ligurie,1,LGM,Gravettian,Arene Candide,P8,Arene Candide P8,23858,19760,385,0.0195,intcal13,R-2553,8.3330,44.1667,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,1,LGM,"Gravettian, ancient Epigravettian",Arene Candide,P9,Arene Candide P9,24638,20470,320,0.0156,intcal13,R-2541,8.3330,44.1667,NA,NA,"Conv 14C, 3902","Mussi M., 2000. Heading South. In: Hunters of the Golden Age: 355-374",Leuven,NA
N Central,Spain,NE Spain,3,End Glacial,Epipaleolithic,Atxoste,E,Atxoste E,10786,9450,50,0.0053,intcal13,GrA35141,2.4735,42.7665,NA,NA,NA,Utrilla et al. 2010,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Magdalenian,Atxoste,f2,Atxoste F2,13946,12070,60,0.005,intcal13,GrA19554,2.4735,42.7665,NA,NA,NA,Alday 2002,O Garcia,NA
N Central,Spain,NE Spain,2,Late Pleniglacial,Magdalenian,Atxoste,g,Atxoste G,14264,12200,90,0.0074,intcal13,GrA19502,2.4735,42.7665,NA,NA,NA,Alday 2002,O Garcia,NA
N Central,Spain,NE Spain,2,Late Pleniglacial,Magdalenian,Atxoste,h2,Atxoste H2,14704,12540,80,0.0064,intcal13,GrA19503,2.4735,42.7665,NA,NA,NA,Alday 2002,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Epipaleolithic,Atxoste,VI,Atxoste VI,10884,9550,60,0.0063,intcal13,GrA15858,2.4735,42.7665,NA,NA,NA,Utrilla et al. 2010,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Epipaleolithic,Atxoste,VIb2,Atxoste VI,10864,9510,50,0.0053,intcal13,GrA35142,2.4735,42.7665,NA,NA,NA,Utrilla et al. 2010,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Magdalenian,Atxoste,VII,Atxoste VII,13621,11800,60,0.0051,intcal13,GrA22900,2.4735,42.7665,NA,NA,NA,Utrilla et al. 2010,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Magdalenian,Atxoste,VIIb,Atxoste VII,13536,11720,70,0.006,intcal13,GrA22865,2.4735,42.7665,NA,NA,NA,Alday 2002,O Garcia,NA
N Central,Spain,NE Spain,3,End Glacial,Magdalenian,Atxoste,VIIc,Atxoste VII,13567,11760,70,0.006,intcal13,GrA22866,2.4735,42.7665,NA,NA,NA,Alday 2002,O Garcia,NA
N Central,France,NA,3,End Glacial,"Late Palaeolithic, Epipalaeolithic",Aven des Iboussieres,4C,Aven des I'Boussieres 4C,11876,10210,80,0.0078,intcal13,LYON-170,4.7500,44.4833,Bone,NA,"Conv 14C, 6802",Onoratini G. 1996. Eraul: 257-268.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,Epigravettian,Azzura di Paina,5,Azzura di Paina 5,12642,10760,100,0.0093,intcal13,UtC-2698,11.5309,45.4405,animal bone,?,"AMS, 2787",Sommer R. e.a. 2008. QSR 27: 714-733.,Leuven,NA
Northeast,Italy,NA,1,LGM,early Eppigravettian,Azzura di Paina,6,Azzura di Paina 6,23399,19430,150,0.0077,intcal13,UtC-2043,11.5309,45.4405,bone,?,"AMS, 2786",Sommer R. e.a. 2008. QSR 27: 714-733. Preistoria Alpina 45 (2011): 7-19.,Leuven,NA
Northeast,Italy,NA,1,LGM,early Eppigravettian,Azzura di Paina,6,Azzura di Paina 6,24295,20120,220,0.0109,intcal13,UtC-2696,11.5309,45.4405,bone,?,"AMS, 1713",Sommer R. e.a. 2008. QSR 27: 714-733. Preistoria Alpina 45 (2011): 7-19.,Leuven,NA
Northeast,Italy,NA,1,LGM,Dufour Aurignacian,Azzura di Paina,7a,Azzura di Paina 7a,24370,20200,240,0.0119,intcal13,UtC-2697,11.5309,45.4405,bone,?,"AMS, 1712",NA,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,"Evolved Solutrean, Middle Solutrean",Bajondillo,Bj9,Bajondillo Bj9,24093,19990,480,0.024,intcal13,AA--34710,-4.4949,36.6244,Charcoal,?,"AMS, 5194",Cortes M. e.a. 2011. Pyrenae 42: 51-75.,Leuven,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Bajondillo,III,Bajondillo III,8274,7475,80,0.0107,intcal13,Ua18269,-4.4949,36.6244,NA,NA,NA,Cortes 2007,O Garcia,NA
Southwest,Spain,S&E Spain,4,Holocene,Mesolitico Geometrico,Bajondillo,IV,Bajondillo IV,8160,7325,65,0.0089,intcal13,Ua21999,-4.4949,36.6244,NA,NA,NA,Cortes 2007,O Garcia,NA
N Central,Spain,NE Spain,4,Holocene,Epipaleolรญtico Microlaminar,Balma de la Griera,II,Balma de la Griera II,8155,7360,150,0.0204,intcal13,GrA7193,1.5730,41.2241,NA,NA,NA,Blasco et al 2011,O Garcia,NA
N Central,Spain,NE Spain,1,LGM,Upper Palaeolithic,Balma de la Griera,III,Balma de la Griera III,20388,16890,200,0.0118,intcal13,GrA-6486,1.5730,41.2241,astrilla de hueso,?,"AMS, 2250",Garcia Diez M.  & Cebria I Escuer A. 2003. Zephyrus 56: 39-48.,Leuven,NA
N Central,Spain,NE Spain,1,LGM,Upper Palaeolithic,Balma de la Griera,III,Balma de la Griera III,25404,21255,350,0.0165,intcal13,AA-8649  X-404,1.5730,41.2241,astrilla de hueso,NA,"Conv 14C, 5306",Garcia Diez M.  & Cebria I Escuer A. 2003. Zephyrus 56: 39-48.,Leuven,NA
