subregion,country,region,period.num,period,industry,site,unit,site.unit,BP.cal.median,C14.mean,C14.SD,C14.CV,calib.curve,sample.id,longitude,latitude,material,delta 13,method and id,citation,source,comments
Southwest,Spain,S&E Spain,1,LGM,Aurignacian,Foradada,"Sector I, VI","Foradada Sector I, VI",34078,29950,200,0.0067,intcal13,Beta-103783,-0.1200,38.9200,Charcoal,?,"AMS, 2917",Zilhao J. 2006. Pyrenae 37:7-84.,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Aurignacian,Foradada,"Sector II, II","Foradada Sector II, II",32225,28300,170,0.006,intcal13,Beta-132351,-0.1200,38.9200,Charcoal,?,"AMS, 2920",Zilhao J. 2006. Pyrenae 37:7-84.,Leuven,NA
Southwest,Spain,S&E Spain,1,LGM,Aurignacian,Foradada,"Sector II, II","Foradada Sector II, II",30455,26610,460,0.0173,intcal13,Beta-132350,-0.1200,38.9200,Charcoal,?,"AMS, 2919",Zilhao J. 2006. Pyrenae 37:7-84.,Leuven,NA
Southwest,Spain,S&E Spain,4,Holocene,Epipaleolรญtico Microlaminar,Fosca,-,Fosca,9879,8800,200,0.0227,intcal13,I9868,-0.1112,40.4177,NA,NA,NA,Olร ria et al. 1988,O Garcia,NA
Southwest,Spain,S&E Spain,3,End Glacial,Epipaleolithic,Fosca,IIIb,Fosca IIIb,10782,9460,160,0.0169,intcal13,I-11313,-0.1112,40.4177,NA,NA,NA,NA,PANCEA,NA
Southeast,Italy,Central Italy,1,LGM,Aurignacian,Fossellone,21,Fossellone 21,29430,25380,1080,0.0426,intcal13,NA,13.8000,41.3500,NA,NA,NA,NA,PANCEA,NA
Southeast,Italy,NA,1,LGM,Epigravettian,Fosso Mergaoni,NA,Fosso Mergaoni,21892,18160,240,0.0132,intcal13,UtC-11551,13.0285,43.4372,NA,?,"AMS, 3676",Banks W. et al. 2008. QSR 27: 2568-2575.,Leuven,NA
Northeast,Italy,NA,3,End Glacial,"Final Epigravettian, Sauverterrian",Fredian Shelter,5b,Fredian Shelter 5b,10728,9458,91,0.0096,intcal13,AA-10951,10.3500,44.0769,charcoal,?,"AMS, 1331","Boschian G., Mallegni F., Tozzi C. 1996. The Fredian Roch-shelter. An Epigravettian and Mesolithic Age Site in the Serchio Basin (N. Ruscany); Palaeoecology, and Cultural and Human Remains, Quaternaria Nova, Vol. 5, 1995: 45-80. Naudinot N. JAS 2014. ip.",Leuven,NA
Northeast,Italy,NA,3,End Glacial,"Final Epigravettian, Sauverterrian",Fredian Shelter,5b,Fredian Shelter 5b,12766,10870,119,0.0109,intcal13,AA-10952,10.3500,44.0769,charcoal,?,"AMS, 1332","Boschian G., Mallegni F., Tozzi C. 1996. The Fredian Roch-shelter. An Epigravettian and Mesolithic Age Site in the Serchio Basin (N. Ruscany); Palaeoecology, and Cultural and Human Remains, Quaternaria Nova, Vol. 5, 1995: 45-80. Naudinot N. JAS 2014. ip.",Leuven,NA
Southeast,Italy,Central Italy,2,Late Pleniglacial,Gravettian,Fucino,NA,Fucino,14983,12620,410,0.0325,intcal13,NA,13.5167,42.0167,NA,NA,NA,NA,PANCEA,NA
Northeast,Italy,NA,1,LGM,Proto-Aurignacian,Fumane,A2 int,Fumane A2 int,31622,27485,691,0.0251,intcal13,R-2527,10.9666,45.5062,bone collagen,?,"AMS, 4524",Higham et al. 2009,Leuven,NA
Northeast,Italy,NA,1,LGM,Aurignacian,Fumane,A2 llext,Fumane A2 llext,22754,18836,258,0.0137,intcal13,R-2518,10.9666,45.5062,bone collagen,NA,"Conv 14C, 6923",Higham T. e.a. 2009. QSR doi:10.1016/j.quascirev.2008.12.018.,Leuven,NA
Northeast,Italy,NA,1,LGM,Gravettian,Fumane,D1d base,Fumane D1d,32713,28828,390,0.0135,intcal13,LTL-374A,10.9666,45.5062,Charcoal,?,"AMS, 3775",Higham T. e.a. 2009. QSR doi:10.1016/j.quascirev.2008.12.018.,Leuven,NA
Northeast,Italy,NA,1,LGM,Aurignacian,Fumane,D1e,Fumane D1e,30982,26890,530,0.0197,intcal13,R-2784,10.9666,45.5062,"shell, terrestrial",NA,"Conv 14C, 7254",Broglio and Dalmeri 2005,Leuven,NA
Northeast,Italy,NA,1,LGM,Aurignacian,Fumane,D3 + D6,Fumane D3 + D6,27264,23157,319,0.0138,intcal13,R-2510,10.9666,45.5062,bone collagen,NA,"Conv 14C, 6921",Higham T. e.a. 2009. QSR doi:10.1016/j.quascirev.2008.12.018.,Leuven,NA
