subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,lithics.total,debris,cores,retouched,retouch.freq,backed,backed.freq,bonetools,bonetool.freq,portability,NISP,large.herbivore,small.herbivore,carnivore,lg.herbivore.index,elevation,distcoast.modern,distcoast.contemp,longitude,latitude,macro.retouch.freq
N Central,France,Languedoc,4,Holocene,Azilian,8,Gazel,4,Gazel 4,9849,3268,3131,60,137,0.042,58,0.018,1,0.000,0.431,0,0,0,0,NA,198,56.36,63.49,2.3960,43.2920,0.024
N Central,France,Languedoc,3,End Glacial,Epi-Magdalenian,8,Gazel,5,Gazel 5,11695,1877,1710,36,167,0.089,96,0.051,NA,NA,NA,0,0,0,0,NA,198,56.36,76.65,2.3960,43.2920,0.038
N Central,France,Languedoc,3,End Glacial,Epi-Magdalenian,8,Gazel,6,Gazel 6,12510,3428,3147,32,281,0.082,172,0.050,NA,NA,NA,NA,NA,NA,NA,NA,198,56.36,76.65,2.3960,43.2920,0.032
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,8,Gazel,7,Gazel 7,17295,3388,3039,54,349,0.103,167,0.049,80,0.024,0.708,14867,7360,7479,28,0.496,198,56.36,89.36,2.3960,43.2920,0.054
N Central,France,Languedoc,2,Late Pleniglacial,Middle Magdalenian,8,Gazel,8,Gazel 8,18264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1468,685,762,21,0.473,198,56.36,89.36,2.3960,43.2920,NA
Northeast,Italy,N Italy,4,Holocene,Recent Mesolithic (Castelnoviano),89,Gazzaro,,Gazzaro,NA,60,47,3,10,0.167,NA,NA,NA,0.000,NA,55,51,0,4,1.000,67,82.98,84.36,10.4346,44.7367,NA
N Central,France,Provence,4,Holocene,Mesolithic,34,Gramari,3a1,Gramari 3a1,8689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,0,0,1.000,343,67.86,71.64,5.2200,44.0100,NA
N Central,France,Provence,4,Holocene,Mesolithic,34,Gramari,3a3,Gramari 3a3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,0,0,1.000,343,67.86,71.64,5.2200,44.0100,NA
N Central,France,Provence,4,Holocene,Mesolithic,34,Gramari,3b1,Gramari 3b1,8866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,9,0,2,1.000,343,67.86,71.64,5.2200,44.0100,NA
N Central,France,Provence,4,Holocene,Mesolithic,34,Gramari,3b2,Gramari 3b2,9886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6,0,1,1.000,343,67.86,71.64,5.2200,44.0100,NA
