subregion,country,region,period.num,period,industry,site.id,site,unit,site.unit,BP.cal.median,NISP,Rangifer,Equus,Mammuthus,Bos,Cervus,Alces.or.Megaloceros,Capra,Rupicapra,Saiga,Sus,Capreolus,Ungulate,Oryctolagus,Lepus,Lagomorph,Castor,Marmota,Vulpes.or.Alopex,Canis,Lynx,Felis,Panthera,Meles,Crocuta,Gulo,Lutra,Martes,Mustela,Ursus,Carnivore,Rodentia.small,Insectivora,Phocidae,bird,reptile,turtle,fish,terrestrial.shell,marine.shell,shell.sp,Ident.fraction,large.herbivore,,small.herbivore,carnivore,lg.herbivore.index,shannon,shannon.mammal,simpson,simpson.mammal,elevation,distcoast.modern,distcoast.contemp,latitude,longitude,invsimpson.mammal,invsimpson
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,1-3b,Riparo Tagliente 1-3b,NA,161,0,0,0,4,121,1,1,2,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,161,0,0,0,1.0000,0.8411,0.8411,0.4069,0.4069,232,90.57,191.48,45.5403,11.0056,1.69,1.69
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,10-10e,Riparo Tagliente 10-10e,15478,379,0,0,0,20,264,2,0,24,0,36,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,379,0,0,0,1.0000,1.0457,1.0457,0.4914,0.4914,232,90.57,191.48,45.5403,11.0056,1.97,1.97
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,11-12,Riparo Tagliente 11-12,NA,101,0,0,0,26,7,30,19,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,0,0,0,1.0000,1.6203,1.6203,0.7817,0.7817,232,90.57,191.48,45.5403,11.0056,4.58,4.58
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,13-15,Riparo Tagliente 13-15,14278,174,0,0,0,45,2,17,107,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174,0,0,0,1.0000,0.9973,0.9973,0.5450,0.5450,232,90.57,191.48,45.5403,11.0056,2.20,2.20
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,16-17,Riparo Tagliente 16-17,16102,91,0,0,0,14,3,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,91,0,0,0,1.0000,0.6268,0.6268,0.3316,0.3316,232,90.57,191.48,45.5403,11.0056,1.50,1.50
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,4-4b,Riparo Tagliente 4-4b,NA,39,0,0,0,2,30,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,0,0,0,1.0000,0.8340,0.8340,0.3918,0.3918,232,90.57,191.48,45.5403,11.0056,1.64,1.64
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,5-7b,Riparo Tagliente 5-7b,NA,335,0,1,0,1,253,2,6,10,0,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335,0,0,0,1.0000,0.8943,0.8943,0.4112,0.4112,232,90.57,191.48,45.5403,11.0056,1.70,1.70
Northeast,Italy,NE Italy,2,Late Pleniglacial,Upper Paleolithic,43,Riparo Tagliente,8-9,Riparo Tagliente 8-9,14171,452,0,0,0,9,338,0,3,13,0,32,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,452,0,0,0,1.0000,0.8793,0.8793,0.4186,0.4186,232,90.57,191.48,45.5403,11.0056,1.72,1.72
N Central,France,Languedoc,1,LGM,Early Salpêtrian,23,Salpetriere,18-7,Salpetriere 18-7,NA,112,3,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8,3,3,0,0.7273,1.4990,1.4990,0.7603,0.7603,27,53.65,86.78,43.9396,4.5641,4.17,4.17
N Central,France,Languedoc,1,LGM,Solutrean,23,Salpetriere,24,Salpetriere 24,NA,58,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,4,1,1,0,0.8000,1.3322,1.3322,0.7200,0.7200,27,53.65,86.78,43.9396,4.5641,3.57,3.57
N Central,France,Languedoc,1,LGM,Pontigardian,23,Salpetriere,30A,Salpetriere 30A,24572,1576,25,10,0,3,3,0,1,0,0,0,0,0,8,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0.03,42,10,10,2,0.8077,NA,1.6166,NA,0.7209,27,53.65,86.78,43.9396,4.5641,3.58,NA
N Central,France,Languedoc,2,Late Pleniglacial,Upper Magdalenian/ Upper Salpetrian,23,Salpetriere,4-3,Salpetriere 4-3,15632,1420,3,1,0,1,0,0,1,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0.03,7,21,21,0,0.2500,1.5711,1.0747,0.6963,0.4719,27,53.65,76.96,43.9396,4.5641,1.89,3.29
N Central,France,Languedoc,1,LGM,Early Salpêtrian,23,Salpetriere,5,Salpetriere 5,21641,574,2,2,0,1,0,0,2,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.04,8,10,10,0,0.4444,1.7511,1.5607,0.7686,0.7037,27,53.65,86.78,43.9396,4.5641,3.38,4.32
N Central,France,Languedoc,2,Late Pleniglacial,Upper Magdalenian/ Upper Salpetrian,23,Salpetriere,5-4,Salpetriere 5-4,NA,28,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,4,2,2,0,0.6667,1.0114,1.0114,0.6111,0.6111,27,53.65,76.96,43.9396,4.5641,2.57,2.57
N Central,France,Languedoc,1,LGM,Early Salpêtrian,23,Salpetriere,6,Salpetriere 6,23482,428,5,9,0,1,0,0,5,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0.09,20,8,8,1,0.7143,1.8042,1.6607,0.8139,0.7824,27,53.65,86.78,43.9396,4.5641,4.60,5.37
N Central,France,Languedoc,2,Late Pleniglacial,Upper Magdalenian/ Upper Salpetrian,23,Salpetriere,6; 2-1,"Salpetriere 6, 2-1",NA,339,3,1,0,0,1,0,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,6,6,6,2,0.5000,1.8288,1.8288,0.7959,0.7959,27,53.65,76.96,43.9396,4.5641,4.90,4.90
